Word,Frequency
曰,5709
了,2707
你,2430
來,2011
有,1970
在,1812
是,1752
我,1600
說,1546
也,1541
之,1333
子牙,1326
見,1307
黃,1254
與,1205
上,1171
吾,1143
又,1069
把,1017
去,1006
他,979
得,963
的,931
不,907
哪吒,893
且,876
至,841
為,793
話,754
等,753
而,735
只見,734
馬,732
聽,727
人,710
楊戩,684
下,680
不知,644
此,598
紂,592
被,590
一,584
裏,578
今日,567
只,566
軍,545
乃,514
臺,502
飛虎,498
中,491
武王,449
後,447
那,437
道人,436
天下,434
走,417
左右,414
如何,405
殺,402
道,401
陛下,401
就,399
忙,393
往,379
鎗,375
看,371
弟子,369
朝歌,359
今,350
已,350
請,346
紂王,327
如此,325
二人,324
天子,322
到,321
旛,319
俱,312
言,310
死,308
不能,307
正是,305
無,298
聞太師,297
王,287
怎見,286
雲,285
太師,283
真人,283
打,280
對,279
詩曰,268
朕,264
若,264
前,264
劍,261
拿,261
三,260
殿下,259
復,257
使,257
擒,253
文王,253
便,251
西岐,250
誰,248
諸侯,247
燃燈,246
妲,245
沖,244
叫,244
眾將,243
豈,242
好,240
出,239
李靖,239
娘娘,237
大呼,237
次日,236
己,236
臣,234
要,232
可,231
一聲,228
姜尚,227
以,224
長,224
教主,223
丞相,220
大喜,220
纔,219
雷震子,219
殷郊,218
地,213
畢,213
乃是,213
不可,205
詩為證,203
土行,203
從,202
亦,202
殿,201
傳令,200
空中,200
于,197
不敢,196
內,196
陳,196
於,195
大叫,195
元始,195
事,194
天化,193
坐,192
歎,192
人馬,192
大夫,190
報,189
用,188
如,187
手中,187
廣成子,187
報入,186
欲,184
起,184
姜子牙,183
一道,180
不表,180
赤,180
龍,179
只得,178
大王,178
拜,177
這,175
老師,175
皆,174
命,174
再,171
矣,170
不得,169
望,168
土行孫,168
逕,167
公明,167
一個,166
斬,166
讚,165
既,165
寶,165
相府,165
如今,163
通天,162
都,161
奏,161
甚,161
但,160
耳,160
不覺,159
天尊,157
精子,156
敢,155
笑,154
更,153
二位,153
張奎,153
令,152
轅門,149
大怒,148
將,148
何人,147
刀,147
坐下,147
末將,147
待,146
趙,145
明日,143
父子,143
匹夫,143
金光,143
牙,142
即,142
卻,140
騎,140
自,139
貧道,139
著,138
回,138
一日,136
住,136
砲,136
子,135
陣,135
分付,135
大,134
下山,134
時,132
之言,131
出來,131
周營,131
非,130
誅,130
處,129
方,129
乾坤,128
武成,128
蘇護,128
進,128
兄,127
未及,127
看見,126
二將,126
虎,126
仗,126
姜,125
日,124
盡,124
者,124
蕩,124
成功,124
鄭倫,124
聖母,124
老子,124
其,123
口稱,123
